rms,mileage,speed,load
7.75,355555.25,85.28,110
8.1,355569.47,85.28,110
8.08,355583.68,85.28,110
8.2,355597.89,85.28,110
8.23,355612.11,85.28,110
8.09,355626.32,85.28,110
8.37,355640.53,85.28,110
8.53,355654.75,85.28,110
8.71,355668.95,85.28,110
7.66,355683.17,85.28,110
8.61,355697.39,85.28,110
8.37,355711.59,85.28,110
7.86,355725.81,85.28,110
7.82,355740.02,85.28,110
7.9,355754.23,85.28,110
8.04,355768.45,85.28,110
8.83,355782.66,85.28,110
7.53,355796.87,85.28,110
7.69,355811.08,85.28,110
7.93,355825.3,85.28,110
8.48,355839.51,85.28,110
8.92,355853.72,85.28,110
8.16,355867.94,85.28,110
8.72,355882.14,85.28,110
8.23,355896.36,85.28,110
7.89,355910.58,85.28,110
8.39,355924.78,85.28,110
8.8,355939,85.28,110
7.51,355953.21,85.28,110
6.93,355967.42,85.28,110
8.03,355981.64,85.28,110
8.23,355995.85,85.28,110
8.63,356010.06,85.28,110
9.21,356024.27,85.28,110
7.49,356038.49,85.28,110
7.04,356052.7,85.28,110
8.3,356066.91,85.28,110
8.33,356081.13,85.28,110
7.46,356095.34,85.28,110
8.3,356109.55,85.28,110
7.54,356123.77,85.28,110
7.81,356137.97,85.28,110
7.53,356152.19,85.28,110
8.75,356166.4,85.28,110
7.58,356180.61,85.28,110
7.46,356194.83,85.28,110
8.3,356209.04,85.28,110
8.27,356223.25,85.28,110
8.12,356237.47,85.28,110
7.92,356251.68,85.28,110
7.35,356265.89,85.28,110
8.39,356280.1,85.28,110
8.23,356294.32,85.28,110
8.24,356308.53,85.28,110
8.23,356322.74,85.28,110
8.69,356336.96,85.28,110
8.18,356351.16,85.28,110
8.96,356365.38,85.28,110
7.44,356379.6,85.28,110
8.29,356393.8,85.28,110
7.99,356408.02,85.28,110
7.61,356422.23,85.28,110
8.47,356436.44,85.28,110
7.64,356450.66,85.28,110
8.51,356464.87,85.28,110
8.38,356479.08,85.28,110
8.49,356493.29,85.28,110
7.74,356507.51,85.28,110
7.85,356521.72,85.28,110
8.28,356535.93,85.28,110
8.46,356550.15,85.28,110
8.29,356564.36,85.28,110
8.33,356578.57,85.28,110
7.99,356592.79,85.28,110
7.78,356606.99,85.28,110
7.72,356621.21,85.28,110
8.02,356635.42,85.28,110
7.72,356649.63,85.28,110
8.54,356663.85,85.28,110
8.21,356678.06,85.28,110
9.03,356692.27,85.28,110
8.36,356706.49,85.28,110
8.13,356720.7,85.28,110
8.17,356734.91,85.28,110
7.66,356749.12,85.28,110
8.12,356763.34,85.28,110
7.75,356777.55,85.28,110
9.02,356791.76,85.28,110
7.93,356805.98,85.28,110
8.39,356820.18,85.28,110
7.46,356834.4,85.28,110
7.72,356848.62,85.28,110
7.78,356862.82,85.28,110
9.16,356877.04,85.28,110
7.91,356891.25,85.28,110
9.35,356905.46,85.28,110
8.3,356919.68,85.28,110
8.87,356933.89,85.28,110
8.49,356948.1,85.28,110
8.54,356962.31,85.28,110
7.53,356976.53,85.28,110
8.92,356990.74,85.28,110
7.77,357004.95,85.28,110
8.41,357019.17,85.28,110
7.71,357033.38,85.28,110
9.03,357047.59,85.28,110
7.88,357061.81,85.28,110
8.67,357076.01,85.28,110
8.37,357090.23,85.28,110
7.09,357104.44,85.28,110
8.6,357118.65,85.28,110
8.9,357132.87,85.28,110
9.06,357147.08,85.28,110
8.95,357161.29,85.28,110
8.52,357175.51,85.28,110
8.27,357189.72,85.28,110
7.75,357203.93,85.28,110
8.06,357218.14,85.28,110
8.11,357232.36,85.28,110
8.54,357246.57,85.28,110
8.09,357260.78,85.28,110
8.7,357275,85.28,110
8.15,357289.2,85.28,110
8.27,357303.42,85.28,110
8.01,357317.64,85.28,110
7.85,357331.84,85.28,110
9.08,357346.06,85.28,110
8.26,357360.27,85.28,110
8.3,357374.48,85.28,110
8.38,357388.7,85.28,110
8.51,357402.91,85.28,110
8.76,357417.12,85.28,110
8.13,357431.33,85.28,110
7.89,357445.55,85.28,110
8.23,357459.76,85.28,110
7.94,357473.97,85.28,110
8.12,357488.19,85.28,110
6.91,357502.39,85.28,110
7.66,357516.61,85.28,110
8.8,357530.83,85.28,110
8.2,357545.03,85.28,110
8.43,357559.25,85.28,110
8.1,357573.46,85.28,110
7.89,357587.67,85.28,110
7.85,357601.89,85.28,110
9.21,357616.1,85.28,110
9.34,357630.31,85.28,110
8.45,357644.52,85.28,110
7.65,357658.74,85.28,110
9.19,357672.95,85.28,110
8.16,357687.16,85.28,110
8.54,357701.38,85.28,110
7.74,357715.59,85.28,110
9.07,357729.8,85.28,110
8.9,357744.02,85.28,110
8.04,357758.22,85.28,110
8.1,357772.44,85.28,110
8.23,357786.66,85.28,110
7.59,357800.86,85.28,110
7.94,357815.08,85.28,110
7.94,357829.29,85.28,110
8.12,357843.5,85.28,110
8.5,357857.72,85.28,110
7.96,357871.93,85.28,110
7.9,357886.14,85.28,110
8.15,357900.35,85.28,110
7.99,357914.57,85.28,110
8.73,357928.78,85.28,110
7.9,357942.99,85.28,110
8.17,357957.21,85.28,110
8.47,357971.41,85.28,110
8.46,357985.63,85.28,110
8.31,357999.85,85.28,110
8.08,358014.05,85.28,110
7.88,358028.27,85.28,110
8.57,358042.48,85.28,110
8.77,358056.69,85.28,110
8.44,358070.91,85.28,110
7.6,358085.12,85.28,110
8.45,358099.33,85.28,110
7.72,358113.54,85.28,110
8.72,358127.76,85.28,110
7.89,358141.97,85.28,110
7.93,358156.18,85.28,110
8.05,358170.4,85.28,110
8.82,358184.61,85.28,110
8.78,358198.82,85.28,110
8.35,358213.04,85.28,110
8.19,358227.24,85.28,110
7.56,358241.46,85.28,110
8.86,358255.67,85.28,110
8.5,358269.88,85.28,110
7.77,358284.1,85.28,110
8.35,358298.31,85.28,110
7.64,358312.52,85.28,110
8.53,358326.74,85.28,110
7.57,358340.95,85.28,110
8.04,358355.16,85.28,110
8.38,358369.37,85.28,110
7.93,358383.59,85.28,110
7.63,358397.8,85.28,110
8.94,358412.01,85.28,110
8.35,358426.23,85.28,110
7.88,358440.43,85.28,110
7.79,358454.65,85.28,110
9.2,358468.87,85.28,110
7.59,358483.07,85.28,110
8.56,358497.29,85.28,110
8.03,358511.5,85.28,110
8.22,358525.71,85.28,110
7.89,358539.93,85.28,110
7.88,358554.14,85.28,110
8.25,358568.35,85.28,110
8.1,358582.56,85.28,110
7.54,358596.78,85.28,110
7.61,358610.99,85.28,110
8.54,358625.2,85.28,110
8.15,358639.42,85.28,110
9.45,358653.63,85.28,110
7.09,358667.84,85.28,110
8.62,358682.06,85.28,110
8.4,358696.26,85.28,110
7.8,358710.48,85.28,110
8.08,358724.69,85.28,110
7.99,358738.9,85.28,110
8.32,358753.12,85.28,110
7.67,358767.33,85.28,110
7.95,358781.54,85.28,110
8.01,358795.76,85.28,110
7.53,358809.97,85.28,110
7.72,358824.18,85.28,110
9.21,358838.39,85.28,110
8.28,358852.61,85.28,110
8.49,358866.82,85.28,110
7.72,358881.03,85.28,110
7.94,358895.25,85.28,110
8.25,358909.45,85.28,110
8.23,358923.67,85.28,110
7.98,358937.89,85.28,110
7.08,358952.09,85.28,110
9.16,358966.31,85.28,110
8.73,358980.52,85.28,110
8.73,358994.73,85.28,110
7.68,359008.95,85.28,110
7.76,359023.16,85.28,110
8.27,359037.37,85.28,110
8.66,359051.58,85.28,110
8.93,359065.8,85.28,110
7.7,359080.01,85.28,110
8.01,359094.22,85.28,110
8,359108.44,85.28,110
7.81,359122.65,85.28,110
8.15,359136.86,85.28,110
8.28,359151.08,85.28,110
8.23,359165.28,85.28,110
8.79,359179.5,85.28,110
7.66,359193.71,85.28,110
8.02,359207.92,85.28,110
8.75,359222.14,85.28,110
8.8,359236.35,85.28,110
